filename,score,cluster_id,drugbank_id
DB00942_docking_min1.mol2,-6.8,68,DB00942
DB00810_docking_min1.mol2,-6.5,68,DB00810
DB01501_docking_min1.mol2,-6.2,68,DB01501
DB09076_docking_min1.mol2,-6.1,68,DB09076
DB00376_docking_min1.mol2,-5.9,68,DB00376
DB00387_docking_min1.mol2,-5.7,68,DB00387
DB06787_docking_min1.mol2,-5.6,68,DB06787
DB00665_docking_min1.mol2,-7.8,69,DB00665
DB01219_docking_min1.mol2,-7.6,69,DB01219
DB00336_docking_min1.mol2,-6.5,69,DB00336
DB00614_docking_min1.mol2,-6.4,69,DB00614
DB00698_docking_min1.mol2,-6.4,69,DB00698
DB00507_docking_min1.mol2,-5.7,69,DB00507
DB00731_docking_min1.mol2,-7.8,70,DB00731
DB06823_docking_min1.mol2,-4.6,70,DB06823
DB00861_docking_min1.mol2,-7.8,71,DB00861
DB01025_docking_min1.mol2,-7.8,72,DB01025
DB00779_docking_min1.mol2,-6.9,72,DB00779
DB01392_docking_min1.mol2,-6.7,72,DB01392
DB00912_docking_min1.mol2,-6.5,72,DB00912
DB12924_docking_min1.mol2,-6.4,72,DB12924
DB00817_docking_min1.mol2,-6.2,72,DB00817
DB01155_docking_min1.mol2,-6.0,72,DB01155
DB01148_docking_min1.mol2,-7.8,73,DB01148
DB01685_docking_min1.mol2,-7.8,74,DB01685
DB08877_docking_min1.mol2,-7.3,74,DB08877
DB05016_docking_min1.mol2,-7.8,75,DB05016
DB06803_docking_min1.mol2,-7.8,76,DB06803
DB01418_docking_min1.mol2,-7.4,76,DB01418
DB00323_docking_min1.mol2,-6.2,76,DB00323
DB00494_docking_min1.mol2,-5.2,76,DB00494
DB09319_docking_min1.mol2,-7.8,77,DB09319
DB01140_docking_min1.mol2,-7.4,77,DB01140
DB01147_docking_min1.mol2,-7.2,77,DB01147
DB01150_docking_min1.mol2,-7.2,77,DB01150
DB00713_docking_min1.mol2,-7.1,77,DB00713
DB01604_docking_min1.mol2,-6.7,77,DB01604
DB11364_docking_min1.mol2,-6.7,77,DB11364
DB00485_docking_min1.mol2,-6.6,77,DB00485
DB01333_docking_min1.mol2,-6.5,77,DB01333
DB01602_docking_min1.mol2,-6.5,77,DB01602
DB13337_docking_min1.mol2,-6.5,77,DB13337
DB00301_docking_min1.mol2,-6.4,77,DB00301
DB00567_docking_min1.mol2,-6.4,77,DB00567
DB00578_docking_min1.mol2,-6.4,77,DB00578
DB00607_docking_min1.mol2,-6.4,77,DB00607
DB00739_docking_min1.mol2,-6.4,77,DB00739
DB01139_docking_min1.mol2,-6.4,77,DB01139
DB00689_docking_min1.mol2,-6.3,77,DB00689
DB00833_docking_min1.mol2,-6.3,77,DB00833
DB00760_docking_min1.mol2,-6.2,77,DB00760
DB01060_docking_min1.mol2,-6.1,77,DB01060
DB09008_docking_min1.mol2,-6.1,77,DB09008
DB00415_docking_min1.mol2,-6.0,77,DB00415
DB00417_docking_min1.mol2,-6.0,77,DB00417
DB01000_docking_min1.mol2,-6.0,77,DB01000
DB01053_docking_min1.mol2,-6.0,77,DB01053
DB01348_docking_min1.mol2,-5.9,77,DB01348
DB01603_docking_min1.mol2,-5.9,77,DB01603
DB00456_docking_min1.mol2,-5.8,77,DB00456
DB01607_docking_min1.mol2,-5.6,77,DB01607
DB12343_docking_min1.mol2,-5.5,77,DB12343
DB01414_docking_min1.mol2,-5.4,77,DB01414
DB09495_docking_min1.mol2,-7.8,78,DB09495
DB11591_docking_min1.mol2,-7.8,79,DB11591
DB06769_docking_min1.mol2,-5.9,79,DB06769
DB11901_docking_min1.mol2,-7.8,80,DB11901
DB08899_docking_min1.mol2,-6.9,80,DB08899
DB12492_docking_min1.mol2,-7.8,81,DB12492
DB00806_docking_min1.mol2,-7.7,82,DB00806
DB13842_docking_min1.mol2,-6.9,82,DB13842
DB00201_docking_min1.mol2,-6.5,82,DB00201
DB09273_docking_min1.mol2,-5.4,82,DB09273
DB00922_docking_min1.mol2,-7.7,83,DB00922
DB00983_docking_min1.mol2,-7.7,84,DB00983
DB00598_docking_min1.mol2,-7.6,84,DB00598
DB01274_docking_min1.mol2,-7.1,84,DB01274
